Year,Country,Economic_Rank,Institutional_Rank,Quality_of_Life_Rank,Sustainability_Index_FA,Ease_of_Living_Rank
1972,Tuvalu,68,119,144,-0.99003,152
1972,Tanzania,77,110,195,-0.88345,205
1972,Uganda,68,110,188,-0.88345,192
1972,Ukraine,71,89,65,-0.03885,75
1972,Upper middle income,24,147,95,-0.24488,86
1972,Uzbekistan,156,162,104,-0.59319,121
1972,St. Vincent and the Grenadines,141,50,35,0.04166,53
1972,Venezuela,63,94,73,-0.34133,81
1972,British Virgin Islands,36,43,57,0.111,49
1972,Virgin Islands (U.S.),63,79,93,-0.19177,88
1972,Vietnam,66,100,136,-0.82876,134
1972,Vanuatu,157,157,113,-0.85309,143
1972,World,63,126,111,-0.59542,116
1972,Samoa,28,84,90,-0.20499,76
1972,Kosovo,26,51,63,-0.47289,68
1972,"Yemen, Rep.",63,110,190,-0.88345,193
1972,Zambia,63,145,127,-0.68827,136
1972,Zimbabwe,63,141,115,-0.66263,125
1973,Aruba,54,41,31,0.08318,35
1973,Africa Eastern and Southern,127,116,222,-0.88345,223
1973,Afghanistan,127,116,224,-0.88345,225
1973,Africa Western and Central,127,116,223,-0.88345,224
1973,Angola,127,116,220,-0.88345,222
1973,Albania,127,74,87,-0.20166,86
1973,Arab World,24,116,190,-0.88345,170
1973,Armenia,53,69,79,-0.01727,71
1973,Antigua and Barbuda,24,46,52,0.04068,36
1973,Azerbaijan,49,180,138,-0.77809,139
1973,Burundi,42,116,213,-0.88345,196
1973,Benin,65,116,219,-0.88345,202
1973,Burkina Faso,40,116,212,-0.88345,195
1973,Bangladesh,67,116,187,-0.88345,181
1973,Bulgaria,44,8,20,0.41596,7
1973,"Bahamas, The",51,43,67,0.111,55
1973,Bosnia And Herzegovina,34,160,93,-0.16416,86
1973,Belarus,52,18,19,0.32425,10
1973,Belize,65,117,101,-0.57326,98
1973,Bermuda,65,48,39,0.09268,41
1973,Bolivia,37,145,173,-0.88895,152
1973,Barbados,55,97,48,0.23427,47
1973,Brunei Darussalam,40,29,59,0.13242,40
1973,Bhutan,38,134,177,-0.79882,148
1973,Botswana,35,137,158,-1.10844,146
1973,Central African Republic,69,116,180,-0.88345,168
1973,Central Europe and the Baltics,73,47,57,-0.09424,59
1973,Channel Islands,73,28,12,0.1422,23
1973,Ivory Coast,101,147,166,-0.96525,175
1973,Cameroon,69,136,176,-0.79193,162
1973,"Congo, Dem. Rep.",160,116,202,-0.88345,221
1973,"Congo, Rep.",154,125,148,-1.01432,169
1973,Comoros,160,116,198,-0.88345,220
1973,Cabo Verde,42,128,155,-0.99014,139
1973,Caribbean small states,69,64,85,-0.35627,81
1973,Cuba,5,47,57,-0.09424,19
1973,Curacao,3,7,62,0.04518,2
1973,Czech Republic,10,86,32,0.02878,12
1973,Djibouti,63,140,174,-0.83192,160
1973,Dominica,63,11,64,0.1919,38
1973,Dominican Republic,63,161,127,-0.70131,131
1973,East Asia & Pacific (excluding high income),118,173,120,-0.81782,135
1973,Early-demographic dividend,63,115,152,-0.99587,144
1973,East Asia & Pacific,121,171,110,-0.79148,126
1973,Europe & Central Asia (excluding high income),99,127,91,-0.22192,91
1973,Europe & Central Asia,8,19,18,0.21044,3
1973,Euro area,9,93,44,0.07727,20
1973,Eritrea,9,116,212,-0.88345,159
1973,Estonia,7,27,63,0.085,15
1973,Ethiopia,9,116,197,-0.88345,151
1973,European Union,99,110,46,0.0524,65
1973,Fragile and conflict affected situations,99,138,160,-1.10168,174
1973,Fiji,99,142,115,-0.60995,119
1973,Faroe Islands,99,51,1,0.60292,5
1973,"Micronesia, Fed. Sts.",153,148,122,-0.6432,134
1973,Gabon,139,135,157,-1.09562,176
1973,Ghana,85,139,164,-1.08805,172
1973,Gibraltar,125,67,28,0.13745,49
1973,Guinea,128,149,168,-0.96325,179
1973,"Gambia, The",137,150,170,-0.99528,183
1973,Guinea-Bissau,130,149,168,-0.96325,180
1973,Equatorial Guinea,98,116,211,-0.88345,210
1973,Grenada,126,49,38,0.07244,51
1973,Guatemala,126,139,163,-1.08805,180
1973,Guam,126,53,95,-0.16848,87
1973,Guyana,95,164,123,-0.72187,136
1973,High income,94,78,54,0.10389,62
1973,Honduras,93,115,151,-0.99587,158
1973,Heavily indebted poor countries (HIPC),95,139,162,-1.05545,173
1973,Croatia,6,75,58,-0.01072,25
1973,Haiti,95,116,198,-0.88345,204
1973,IBRD only,114,130,142,-0.83313,149
1973,IDA & IBRD total,114,121,153,-0.99631,165
1973,IDA total,59,116,181,-0.88345,167
1973,IDA blend,110,126,150,-1.01488,164
1973,IDA only,58,150,171,-0.99528,163
1973,Isle of Man,138,91,89,-0.30011,89
1973,Iraq,147,171,110,-0.79148,129
1973,Jamaica,96,32,73,-0.42141,79
1973,Kazakhstan,50,181,124,-0.87807,138
1973,Kenya,50,132,139,-0.80389,132
1973,Kyrgyz Republic,21,157,132,-0.68899,114
1973,Cambodia,69,116,203,-0.88345,200
1973,Kiribati,50,146,165,-1.04873,156
1973,St. Kitts and Nevis,146,71,94,-0.31168,93
1973,Latin America & Caribbean (excluding high income),12,159,129,-0.6708,106
1973,Lao PDR,21,116,199,-0.88345,171
1973,Lebanon,19,168,88,0.15168,65
1973,Liberia,18,116,205,-0.88345,161
1973,Libya,16,122,154,-1.01139,120
1973,St. Lucia,146,31,70,0.05538,67
1973,Latin America & Caribbean,13,119,145,-0.84169,111
1973,Least developed countries: UN classification,12,116,196,-0.88345,154
1973,Low income,16,116,191,-0.88345,153
1973,Sri Lanka,146,99,81,-0.29977,88
1973,Lower middle income,16,116,188,-0.88345,140
1973,Low & middle income,16,135,157,-1.09562,123
1973,Lesotho,18,145,172,-0.88691,128
1973,Late-demographic dividend,21,118,146,-0.88657,122
1973,Lithuania,15,23,8,-0.10458,7
1973,Luxembourg,143,25,58,-0.04106,61
1973,Latvia,11,129,55,0.07471,39
1973,Taiwan,1,92,71,-0.15304,21
1973,St. Martin (French part),146,95,43,0.09498,64
1973,Moldova,83,80,74,-0.35592,84
1973,Madagascar,143,116,192,-0.88345,207
1973,Maldives,143,116,198,-0.88345,211
1973,Middle East & North Africa,153,138,160,-1.10168,182
1973,Marshall Islands,117,130,141,-0.80991,147
1973,Middle income,84,116,184,-0.88345,185
1973,North Macedonia,41,63,78,-0.047,69
1973,Mali,117,116,217,-0.88345,218
1973,Myanmar,97,116,194,-0.88345,201
1973,Middle East & North Africa (excluding high income),86,154,137,-0.8259,143
1973,Montenegro,22,38,29,0.02631,14
1973,Mongolia,72,174,140,-0.85632,146
1973,Mozambique,97,116,214,-0.88345,212
1973,Mauritania,153,116,189,-0.88345,208
1973,Mauritius,153,157,133,-0.68899,150
1973,Malawi,143,116,207,-0.88345,216
1973,North America,47,34,21,0.18355,17
1973,Namibia,141,137,159,-1.10844,178
1973,New Caledonia,104,123,102,-0.60908,104
1973,Niger,106,116,215,-0.88345,214
1973,Nigeria,106,116,197,-0.88345,205
1973,Nauru,142,128,156,-0.99014,170
1973,OECD members,62,44,30,0.25625,29
1973,Oman,62,116,200,-0.88345,197
1973,Other small states,159,141,161,-1.05349,188
1973,Papua New Guinea,140,116,183,-0.88345,193
1973,Pre-demographic dividend,81,116,204,-0.88345,203
1973,Puerto Rico,31,36,25,0.21638,13
1973,"Korea, Dem. People's Rep.",21,177,112,-0.78453,103
1973,Paraguay,112,144,118,-0.61376,125
1973,Pacific island small states,159,152,169,-0.96325,190
1973,Post-demographic dividend,80,35,15,0.19419,28
1973,French Polynesia,91,94,98,-0.26442,92
1973,Romania,48,162,36,0.12665,55
1973,Russia,26,56,77,0.0016,58
1973,Rwanda,29,116,208,-0.88345,184
1973,South Asia,92,116,186,-0.88345,191
1973,Sudan,30,163,125,-0.72294,116
1973,Senegal,64,116,206,-0.88345,199
1973,Solomon Islands,4,163,126,-0.72294,96
1973,Sierra Leone,109,116,218,-0.88345,215
1973,El Salvador,105,147,167,-0.96945,177
1973,Somalia,92,116,208,-0.88345,209
1973,Serbia,39,101,80,0.03008,72
1973,Sub-Saharan Africa (excluding high income),30,116,211,-0.88345,189
1973,South Sudan,135,116,210,-0.88345,217
1973,Sub-Saharan Africa,30,116,211,-0.88345,189
1973,Small states,4,156,135,-0.82249,99
1973,Sao Tome and Principe,64,150,171,-0.99528,166
1973,Suriname,30,68,86,-0.38944,74
1973,Slovakia,17,3,17,0.20423,1
1973,Slovenia,4,84,65,-0.39991,34
1973,Eswatini,9,146,165,-1.04873,126
1973,Sint Maarten (Dutch part),109,24,9,0.36614,18
1973,Turks and Caicos Islands,149,176,111,-0.85355,133
1973,Chad,73,116,206,-0.88345,201
1973,East Asia & Pacific (IDA & IBRD countries),121,158,130,-0.67392,141
1973,Europe & Central Asia (IDA & IBRD countries),8,105,47,0.06538,25
1973,Togo,123,116,196,-0.88345,208
1973,Tajikistan,1,106,60,0.10473,9
1973,Turkmenistan,149,172,105,-0.66635,118
1973,Latin America & the Caribbean (IDA & IBRD countries),12,130,141,-0.80991,110
1973,Timor-Leste,123,116,193,-0.88345,206
1973,Middle East & North Africa (IDA & IBRD countries),153,155,136,-0.82629,157
1973,Tonga,131,169,109,-0.66236,121
1973,South Asia (IDA & IBRD),134,116,201,-0.88345,213
1973,Sub-Saharan Africa (IDA & IBRD countries),30,116,208,-0.88345,187
1973,Trinidad and Tobago,129,70,42,0.03993,60
1973,Tuvalu,76,120,147,-0.89897,145
1973,Tanzania,123,116,195,-0.88345,207
1973,Uganda,76,116,192,-0.88345,198
1973,Ukraine,77,73,75,-0.26608,80
1973,Upper middle income,32,175,117,-0.78272,115
1973,Uzbekistan,162,166,106,-0.60237,120
1973,St. Vincent and the Grenadines,146,54,40,0.04166,56
1973,Venezuela,75,99,82,-0.29977,85
1973,British Virgin Islands,36,6,66,0.06614,34
1973,Virgin Islands (U.S.),75,60,97,-0.0974,83
1973,Vietnam,74,102,119,-0.55347,111
1973,Vanuatu,163,167,119,-0.81782,142
1973,World,75,165,116,-0.64085,117
1973,Samoa,29,179,108,-0.75053,107
1973,Kosovo,21,72,76,-0.46697,69
1973,"Yemen, Rep.",75,116,179,-0.88345,170
1973,Zambia,75,124,143,-0.83579,138
1973,Zimbabwe,75,151,121,-0.66263,127
1974,Aruba,59,99,34,0.17139,48
1974,Africa Eastern and Southern,113,111,225,-0.88345,214
1974,Afghanistan,113,111,227,-0.88345,216
1974,Africa Western and Central,113,111,226,-0.88345,215
1974,Angola,113,111,223,-0.88345,213
1974,Albania,113,60,91,-0.35074,84
1974,Arab World,30,111,192,-0.88345,156
1974,Armenia,64,40,82,0.00614,66
1974,Antigua and Barbuda,30,58,63,0.13147,47
1974,Azerbaijan,55,176,157,-0.84675,162
1974,Burundi,50,111,204,-0.88345,190
1974,Benin,42,111,221,-0.88345,192
1974,Burkina Faso,48,111,215,-0.88345,193
1974,Bangladesh,78,111,194,-0.88345,189
1974,Bulgaria,47,130,17,0.21902,42
1974,"Bahamas, The",60,39,59,0.17471,50
1974,Bosnia And Herzegovina,39,16,64,0.11494,37
1974,Belarus,62,54,18,0.2528,28
1974,Belize,42,61,92,-0.33503,76
1974,Bermuda,42,37,12,0.42764,17
1974,Bolivia,40,126,178,-0.83516,149
1974,Barbados,63,35,71,-0.04375,63
1974,Brunei Darussalam,48,95,62,0.10473,61
1974,Bhutan,41,119,182,-0.79882,147
1974,Botswana,40,137,120,-0.59111,111
1974,Central African Republic,73,135,162,-1.04651,168
1974,Central Europe and the Baltics,104,88,57,0.04021,68
1974,Channel Islands,104,78,30,0.22012,51
1974,Ivory Coast,91,136,163,-1.04873,174
1974,Cameroon,71,126,178,-0.83516,166
1974,"Congo, Dem. Rep.",160,111,208,-0.88345,211
1974,"Congo, Rep.",134,116,148,-1.01432,170
1974,Comoros,160,111,202,-0.88345,209
1974,Cabo Verde,50,124,159,-1.10168,151
1974,Caribbean small states,73,56,90,-0.35627,79
1974,Cuba,11,76,47,0.09525,24
1974,Curacao,5,75,61,0.08324,23
1974,Czech Republic,13,70,32,0.14471,19
1974,Djibouti,34,121,181,-0.78385,142
1974,Dominica,34,12,67,0.19634,28
1974,Dominican Republic,34,156,129,-0.59874,116
1974,East Asia & Pacific (excluding high income),142,157,125,-0.75825,146
1974,Early-demographic dividend,34,114,154,-0.99631,134
1974,East Asia & Pacific,143,137,121,-0.62361,126
1974,Europe & Central Asia (excluding high income),45,33,75,-0.41695,70
1974,Europe & Central Asia,12,59,42,0.16231,22
1974,Euro area,12,31,15,0.2823,4
1974,Eritrea,12,111,215,-0.88345,159
1974,Estonia,12,134,49,0.28462,33
1974,Ethiopia,12,111,219,-0.88345,161
1974,European Union,45,65,44,0.04205,47
1974,Fragile and conflict affected situations,45,108,153,-0.99587,136
1974,Fiji,45,148,118,-0.61244,110
1974,"Micronesia, Fed. Sts.",151,150,119,-0.62962,129
1974,Gabon,130,127,160,-1.08805,181
1974,Ghana,61,112,147,-0.88678,135
1974,Gibraltar,89,53,53,0.19585,57
1974,Guinea,92,140,165,-0.96325,171
1974,"Gambia, The",129,142,169,-0.99528,182
1974,Guinea-Bissau,93,140,165,-0.96325,171
1974,Equatorial Guinea,117,111,216,-0.88345,204
1974,Grenada,89,32,27,0.25131,36
1974,Guatemala,89,155,127,-0.61835,125
1974,Guam,89,118,56,0.00947,70
1974,Guyana,72,145,139,-0.68899,132
1974,High income,69,43,39,0.04216,45
1974,Honduras,69,120,155,-1.10812,158
1974,Heavily indebted poor countries (HIPC),70,111,188,-0.88345,173
1974,Croatia,10,132,50,0.31279,29
1974,Haiti,70,111,190,-0.88345,176
1974,IBRD only,95,113,146,-0.84169,146
1974,IDA & IBRD total,95,115,144,-0.83715,141
1974,IDA total,38,138,172,-0.99764,154
1974,IDA blend,94,133,174,-0.88691,170
1974,IDA only,38,142,171,-0.99528,153
1974,Isle of Man,112,92,94,-0.22265,87
1974,Iraq,124,115,144,-0.83715,152
1974,Jamaica,77,29,73,-0.39202,73
1974,Kazakhstan,57,177,133,-0.91612,140
1974,Kenya,56,116,148,-1.01432,139
1974,Kyrgyz Republic,9,149,132,-0.73329,105
1974,Cambodia,71,111,215,-0.88345,195
1974,Kiribati,56,142,170,-0.99528,159
1974,St. Kitts and Nevis,127,94,95,-0.18084,89
1974,Latin America & Caribbean (excluding high income),16,116,149,-1.01432,118
1974,Lao PDR,9,111,197,-0.88345,144
1974,Lebanon,22,48,74,0.01253,46
1974,Liberia,21,111,205,-0.88345,164
1974,Libya,19,152,134,-0.72265,108
1974,St. Lucia,127,57,80,-0.22016,82
1974,Latin America & Caribbean,14,146,117,-0.69705,99
1974,Least developed countries: UN classification,16,111,198,-0.88345,152
1974,Low income,19,111,198,-0.88345,155
1974,Sri Lanka,127,12,67,0.19634,52
1974,Lower middle income,19,111,193,-0.88345,146
1974,Low & middle income,19,123,156,-1.10844,123
1974,Lesotho,20,140,166,-0.96325,124
1974,Late-demographic dividend,9,162,126,-0.68138,103
1974,Lithuania,17,66,35,-0.09027,26
1974,Luxembourg,137,42,58,-0.09424,69
1974,Latvia,15,63,40,-0.05496,25
1974,Taiwan,2,91,70,-0.30442,31
1974,St. Martin (French part),127,52,41,0.24369,56
1974,Moldova,99,55,72,-0.10484,74
1974,Madagascar,137,111,196,-0.88345,201
1974,Maldives,137,111,200,-0.88345,205
1974,Middle East & North Africa,151,123,158,-1.10844,183
1974,Marshall Islands,118,145,141,-0.68989,145
1974,Middle income,102,111,191,-0.88345,186
1974,North Macedonia,46,21,76,-0.07232,60
1974,Mali,118,111,222,-0.88345,206
1974,Myanmar,131,111,195,-0.88345,198
1974,Middle East & North Africa (excluding high income),103,145,140,-0.68899,137
1974,Montenegro,24,47,28,-0.08285,25
1974,Mongolia,80,164,143,-0.86154,148
1974,Mozambique,131,111,218,-0.88345,209
1974,Mauritania,152,111,187,-0.88345,190
1974,Mauritius,152,155,128,-0.59833,138
1974,Malawi,137,111,210,-0.88345,208
1974,North America,51,36,5,0.33259,14
1974,Namibia,141,111,189,-0.88345,191
1974,New Caledonia,106,153,110,-0.58472,113
1974,Niger,105,111,220,-0.88345,200
1974,Nigeria,105,111,212,-0.88345,199
1974,Nauru,139,116,150,-1.01432,172
1974,OECD members,68,41,21,0.20663,32
1974,Oman,68,128,179,-0.82128,163
1974,Other small states,163,131,177,-0.83312,188
1974,Papua New Guinea,138,142,168,-0.99432,185
1974,Pre-demographic dividend,110,111,217,-0.88345,202
1974,Puerto Rico,8,34,26,0.17394,5
1974,"Korea, Dem. People's Rep.",9,170,113,-0.65887,94
1974,Paraguay,107,159,122,-0.81782,133
1974,Pacific island small states,163,108,151,-1.01488,175
1974,Post-demographic dividend,114,50,23,0.23251,44
1974,French Polynesia,74,79,98,-0.47506,88
1974,Romania,54,28,29,0.15508,28
1974,Russia,28,64,86,0.00191,64
1974,Rwanda,29,111,214,-0.88345,183
1974,South Asia,132,111,201,-0.88345,203
1974,Sudan,31,152,136,-0.72294,119
1974,Senegal,32,111,209,-0.88345,185
1974,Solomon Islands,4,152,135,-0.72265,98
1974,Sierra Leone,101,111,207,-0.88345,196
1974,El Salvador,120,116,149,-1.01432,169
1974,Somalia,132,111,218,-0.88345,209
1974,Serbia,43,90,88,0.05624,72
1974,Sub-Saharan Africa (excluding high income),31,111,211,-0.88345,185
1974,South Sudan,166,111,213,-0.88345,212
1974,Sub-Saharan Africa,31,111,214,-0.88345,187
1974,Small states,4,151,137,-0.70131,98
1974,Sao Tome and Principe,32,139,164,-0.96525,143
1974,Suriname,31,86,96,-0.21847,78
1974,Slovakia,18,6,19,0.20423,1
1974,Slovenia,4,173,55,-0.2426,40
1974,Eswatini,12,124,159,-1.10168,121
1974,Sint Maarten (Dutch part),100,38,10,0.37891,26
1974,Turks and Caicos Islands,159,62,83,-0.23406,86
1974,Chad,104,111,206,-0.88345,197
1974,East Asia & Pacific (IDA & IBRD countries),143,161,130,-0.59874,139
1974,Europe & Central Asia (IDA & IBRD countries),12,32,27,0.25131,6
1974,Togo,150,111,198,-0.88345,206
1974,Tajikistan,2,73,60,0.10332,12
1974,Turkmenistan,159,166,111,-0.62774,120
1974,Latin America & the Caribbean (IDA & IBRD countries),16,152,135,-0.72265,107
1974,Timor-Leste,145,111,195,-0.88345,202
1974,Middle East & North Africa (IDA & IBRD countries),151,144,142,-0.82629,165
1974,Tonga,148,125,105,-0.29164,102
1974,South Asia (IDA & IBRD),167,111,200,-0.88345,210
1974,Sub-Saharan Africa (IDA & IBRD countries),31,111,214,-0.88345,187
1974,Trinidad and Tobago,149,80,46,0.09498,67
1974,Tuvalu,85,172,114,-0.62801,115
1974,Tanzania,145,111,202,-0.88345,207
1974,Uganda,85,111,199,-0.88345,194
1974,Ukraine,90,74,78,-0.03885,77
1974,Upper middle income,58,117,104,-0.24221,90
1974,Uzbekistan,158,171,109,-0.69678,122
1974,St. Vincent and the Grenadines,127,102,37,0.06548,65
1974,Venezuela,87,85,85,-0.44621,85
1974,British Virgin Islands,49,9,69,-0.13045,43
1974,Virgin Islands (U.S.),87,169,101,-0.09815,96
1974,Vietnam,84,110,176,-0.7637,156
1974,Vanuatu,158,129,180,-0.78087,184
1974,World,87,87,102,-0.23947,91
1974,Samoa,29,160,123,-0.85309,117
1974,Kosovo,9,62,83,-0.23406,54
1974,"Yemen, Rep.",87,109,184,-0.89553,172
1974,Zambia,87,158,124,-0.81436,130
1974,Zimbabwe,87,154,131,-0.72267,131
1975,Aruba,84,38,36,0.1555,33
1975,Africa Eastern and Southern,127,119,237,-0.88345,228
1975,Afghanistan,127,119,238,-0.88345,229
1975,Africa Western and Central,127,119,236,-0.88345,227
1975,Angola,127,119,234,-0.88345,226
1975,Albania,127,47,78,-0.19798,80
1975,Arab World,35,119,190,-0.88345,153
1975,Armenia,81,76,89,-0.01727,77
1975,Antigua and Barbuda,36,105,63,0.10473,58
1975,Azerbaijan,74,173,172,-0.80621,172
1975,Burundi,69,119,218,-0.88345,203
1975,Benin,39,119,227,-0.88345,192
1975,Burkina Faso,66,119,224,-0.88345,205
1975,Bangladesh,89,119,199,-0.88345,183
1975,Bulgaria,67,41,25,0.37801,22
1975,"Bahamas, The",78,18,70,0.04869,47
1975,Bosnia And Herzegovina,60,19,69,0.0093,45
1975,Belarus,80,5,72,0.17257,34
1975,Belize,40,106,95,-0.26548,81
1975,Bermuda,38,45,6,0.25206,7
1975,Bolivia,58,138,176,-0.99764,163
1975,Barbados,77,82,49,-0.03432,59
1975,Brunei Darussalam,66,12,71,0.16413,38
1975,Bhutan,55,126,186,-0.81108,155
1975,Botswana,59,124,145,-1.01432,145
1975,Central African Republic,85,119,189,-0.88345,169
1975,Central Europe and the Baltics,79,102,59,0.04021,68
1975,Channel Islands,82,88,48,-0.02309,60
1975,Ivory Coast,94,125,147,-1.01488,158
1975,Cameroon,85,119,211,-0.88345,202
1975,"Congo, Dem. Rep.",176,119,217,-0.88345,222
1975,"Congo, Rep.",161,130,181,-0.8943,191
1975,Comoros,176,134,180,-0.87285,196
1975,Cabo Verde,69,122,148,-1.01139,150
1975,Caribbean small states,85,77,86,-0.54006,85
1975,Cuba,15,83,46,0.04205,28
1975,Curacao,47,44,62,0.18542,44
1975,Czech Republic,13,63,33,0.08334,20
1975,Djibouti,29,138,177,-0.88423,139
1975,Dominica,29,75,64,0.0816,49
1975,Dominican Republic,29,153,133,-0.73329,120
1975,East Asia & Pacific (excluding high income),148,155,134,-0.72265,152
1975,Early-demographic dividend,30,143,173,-0.99528,144
1975,East Asia & Pacific,149,145,127,-0.61233,134
1975,Europe & Central Asia (excluding high income),44,96,84,-0.14093,74
1975,Europe & Central Asia,11,93,51,0.09073,29
1975,Euro area,12,55,14,0.42764,6
1975,Eritrea,12,119,225,-0.88345,168
1975,Estonia,10,70,75,-0.06583,50
1975,Ethiopia,12,119,222,-0.88345,167
1975,European Union,44,67,44,0.20404,35
1975,Fragile and conflict affected situations,44,141,170,-0.96325,152
1975,Fiji,44,158,118,-0.72517,114
1975,"Micronesia, Fed. Sts.",159,164,121,-0.86635,136
1975,Gabon,137,122,149,-1.01139,176
1975,Ghana,52,119,202,-0.88345,171
1975,Gibraltar,114,61,42,0.09268,56
1975,Guinea,118,141,169,-0.96325,184
1975,"Gambia, The",135,119,215,-0.88345,215
1975,Guinea-Bissau,118,140,166,-0.96525,182
1975,Equatorial Guinea,146,119,223,-0.88345,220
1975,Grenada,116,74,65,0.03973,72
1975,Guatemala,116,128,152,-1.10844,178
1975,Guam,116,86,58,0.10389,69
1975,Guyana,87,156,130,-0.74689,132
1975,High income,87,99,38,0.05612,57
1975,Honduras,87,132,156,-1.05349,165
1975,Heavily indebted poor countries (HIPC),87,119,216,-0.88345,206
1975,Croatia,9,103,60,-0.05036,42
1975,Haiti,87,119,197,-0.88345,181
1975,IBRD only,120,148,139,-0.81293,154
1975,IDA & IBRD total,120,151,137,-0.68989,147
1975,IDA total,54,138,174,-0.99764,160
1975,IDA blend,117,132,157,-1.05349,180
1975,IDA only,53,141,171,-0.96325,158
1975,Isle of Man,129,89,96,-0.28425,94
1975,Iraq,151,159,119,-0.75856,133
1975,Jamaica,99,47,77,-0.20094,75
1975,Kazakhstan,76,175,132,-0.85666,146
1975,Kenya,75,140,168,-0.96945,165
1975,Kyrgyz Republic,8,151,137,-0.68989,110
1975,Cambodia,85,119,192,-0.88345,173
1975,Kiribati,75,137,165,-0.99264,165
1975,St. Kitts and Nevis,126,15,67,-0.0129,61
1975,Latin America & Caribbean (excluding high income),16,149,135,-0.67856,116
1975,Lao PDR,8,119,210,-0.88345,147
1975,Lebanon,22,177,159,-0.73074,159
1975,Liberia,21,119,193,-0.88345,138
1975,Libya,19,121,143,-0.83538,121
1975,St. Lucia,126,69,94,-0.33662,89
1975,Latin America & Caribbean,16,160,120,-0.79148,103
1975,Least developed countries: UN classification,16,119,213,-0.88345,161
1975,Low income,24,119,206,-0.88345,162
1975,Sri Lanka,126,169,114,-0.64492,125
1975,Lower middle income,24,128,153,-1.10844,133
1975,Low & middle income,19,125,146,-1.01432,126
1975,Lesotho,20,119,200,-0.88345,142
1975,Late-demographic dividend,8,168,123,-0.72146,102
1975,Lithuania,17,48,28,0.12321,16
1975,Luxembourg,95,66,57,0.18893,60
1975,Latvia,16,87,37,-0.0013,27
1975,Taiwan,2,84,45,-0.30132,18
1975,St. Martin (French part),126,80,47,0.03083,67
1975,Moldova,112,114,92,-0.5595,99
1975,Madagascar,95,119,194,-0.88345,185
1975,Maldives,95,119,209,-0.88345,207
1975,Middle East & North Africa,157,128,150,-1.10844,189
1975,Marshall Islands,110,133,140,-0.80389,151
1975,Middle income,111,119,198,-0.88345,193
1975,North Macedonia,65,104,93,0.07783,78
1975,Mali,110,119,229,-0.88345,213
1975,Myanmar,164,119,204,-0.88345,211
1975,Middle East & North Africa (excluding high income),113,128,151,-1.10844,177
1975,Montenegro,31,49,31,0.03096,24
1975,Mongolia,98,162,196,-0.87036,199
1975,Mozambique,164,119,231,-0.88345,223
1975,Mauritania,158,119,205,-0.88345,211
1975,Mauritius,158,156,131,-0.74689,149
1975,Malawi,95,119,220,-0.88345,209
1975,North America,63,33,11,0.34688,13
1975,Namibia,140,119,201,-0.88345,204
1975,New Caledonia,97,110,103,-0.24771,96
1975,Niger,124,119,230,-0.88345,219
1975,Nigeria,124,119,220,-0.88345,216
1975,Nauru,138,121,144,-0.84169,164
1975,OECD members,56,46,32,0.29599,26
1975,Oman,56,134,179,-0.88691,157
1975,Other small states,156,127,185,-0.79193,190
1975,Papua New Guinea,139,119,191,-0.88345,197
1975,Pre-demographic dividend,107,119,221,-0.88345,210
1975,Puerto Rico,5,65,18,0.13818,5
1975,"Korea, Dem. People's Rep.",8,123,107,-0.61896,88
1975,Paraguay,122,163,111,-0.59319,123
1975,Pacific island small states,162,121,142,-0.83518,166
1975,Post-demographic dividend,109,52,21,0.13365,40
1975,French Polynesia,83,98,102,-0.35508,90
1975,Romania,73,154,39,0.12665,65
1975,Russia,42,8,70,0.41546,23
1975,Rwanda,34,119,233,-0.88345,195
1975,South Asia,169,119,212,-0.88345,219
1975,Sudan,27,119,203,-0.88345,156
1975,Senegal,26,119,219,-0.88345,179
1975,Solomon Islands,4,144,129,-0.66263,101
1975,Sierra Leone,51,119,228,-0.88345,201
1975,El Salvador,153,143,173,-0.99528,194
1975,Somalia,169,119,227,-0.88345,224
1975,Serbia,62,94,89,-0.01938,76
1975,Sub-Saharan Africa (excluding high income),27,119,224,-0.88345,186
1975,South Sudan,178,119,223,-0.88345,225
1975,Sub-Saharan Africa,27,119,226,-0.88345,187
1975,Small states,4,150,138,-0.82629,107
1975,Sao Tome and Principe,26,136,164,-1.04873,140
1975,Suriname,27,108,99,-0.20644,79
1975,Slovakia,18,10,24,0.16917,3
1975,Slovenia,4,79,74,-0.14769,32
1975,Eswatini,12,131,160,-1.08805,131
1975,Sint Maarten (Dutch part),50,53,7,0.3144,17
1975,Turks and Caicos Islands,180,64,80,-0.48412,95
1975,Chad,82,119,220,-0.88345,208
1975,East Asia & Pacific (IDA & IBRD countries),149,167,122,-0.86195,137
1975,Europe & Central Asia (IDA & IBRD countries),11,81,53,0.05068,30
1975,Togo,150,119,207,-0.88345,214
1975,Tajikistan,2,109,98,-0.14029,51
1975,Turkmenistan,180,128,154,-1.10844,198
1975,Latin America & the Caribbean (IDA & IBRD countries),16,147,126,-0.64045,105
1975,Timor-Leste,144,119,208,-0.88345,212
1975,Middle East & North Africa (IDA & IBRD countries),157,129,182,-0.78067,188
1975,Tonga,154,68,81,-0.49242,92
1975,South Asia (IDA & IBRD),179,119,212,-0.88345,221
1975,Sub-Saharan Africa (IDA & IBRD countries),27,119,224,-0.88345,186
1975,Trinidad and Tobago,155,50,76,-0.08141,79
1975,Tuvalu,103,163,112,-0.59319,119
1975,Tanzania,144,119,214,-0.88345,217
